frame_index,frame_timestamp_sec,num_local_nodes_pre,num_local_nodes_kept,num_new_nodes,num_nodes,num_edges,num_new_edges,t_inference_ms,t_merge_ms,t_edges_ms,t_other_ms,t_frame_total_ms
25,65.040555881,346,23,1,92,309,5,16.56318921595812,0.6287968717515469,0.7531610317528248,0.6585218943655491,18.60366901382804
26,65.138076224,325,25,2,94,319,10,17.33197900466621,0.6335058715194464,0.7829258684068918,0.8344312664121389,19.582842011004686
27,65.235505192,337,24,0,94,319,0,17.032417003065348,0.77082309871912,0.7337240967899561,0.6776188965886831,19.214583095163107
28,65.332979577,334,23,1,95,327,8,16.62098802626133,1.2745058629661798,0.8975102100521326,0.9393079672008753,19.732312066480517
29,65.430452045,338,23,3,98,336,9,16.201272141188383,0.6048919167369604,0.7117218337953091,0.6429841741919518,18.160870065912604
30,65.527966138,330,21,1,99,340,4,17.317761899903417,0.5608799401670694,0.7018139585852623,0.6254801992326975,19.205935997888446
31,65.625436398,345,22,2,101,345,5,16.684025060385466,0.5555502139031887,0.8358950726687908,0.6461795419454575,18.721649888902903
32,65.722872074,344,25,2,103,352,7,16.888748854398727,0.7342449389398098,0.7249871268868446,0.9706469718366861,19.318627892062068
33,65.820346501,333,23,4,107,359,7,17.486878903582692,0.6863048765808344,0.7596418727189302,0.8730243425816298,19.805849995464087
34,65.917819761,327,24,4,111,369,10,19.213190069422126,0.5914769135415554,0.6946010980755091,0.6551868282258511,21.15445490926504
35,66.015294479,335,24,2,113,376,7,16.61048806272447,0.5998429842293262,0.7023040670901537,0.8768520783632994,18.78948719240725
36,66.112767739,326,29,0,113,380,4,16.66144304908812,0.9591060224920511,1.5637681353837252,0.6576208397746086,19.841938046738505
37,66.210240957,328,22,1,114,383,3,16.061611007899046,0.582600012421608,0.6948199588805437,0.8737870957702398,18.212818074971437
38,66.30771555,329,21,4,118,398,15,16.180822858586907,0.6179369520395994,0.6956919096410275,0.6249104626476765,18.11936218291521
39,66.405189185,327,23,4,122,419,21,17.994800116866827,0.5752767901867628,0.696233008056879,0.6225050892680883,19.888815004378557
40,66.502705319,327,21,1,123,424,5,16.452201874926686,0.5984909366816282,0.7221819832921028,0.7296253461390734,18.50250014103949
41,66.600136579,319,20,1,124,431,7,16.686269082129,0.5591970402747393,0.6935889832675457,0.6249099969863892,18.563965102657676
42,66.697609881,331,23,3,127,437,6,16.05437695980072,0.5773510783910751,0.7046989630907774,0.6271640304476023,17.963591031730175
43,66.795120807,335,23,1,128,440,3,17.138856928795576,0.6298089865595102,0.7458769250661135,0.6504070479422808,19.16494988836348
44,66.892556525,325,26,3,131,445,5,16.641336027532816,0.6804941222071648,0.8432578761130571,0.6698139477521181,18.834901973605156
45,66.990030493,315,29,3,134,451,6,16.00525388494134,0.5586058832705021,0.7792890537530184,0.6336071528494358,17.976755974814296
46,67.087504628,333,25,3,137,456,5,16.21422590687871,0.5696159787476063,0.7105099502950907,0.6214943714439869,18.115846207365394
47,67.184978471,321,25,5,142,473,17,16.32708706893027,0.625931890681386,0.7540720980614424,0.6618690676987171,18.368960125371814
48,67.282451189,328,20,2,144,485,12,19.770214101299644,0.6664581596851349,0.7053911685943604,0.6397466640919447,21.781810093671083
49,67.379926866,324,21,1,145,494,9,17.22926599904895,0.704239122569561,0.8086329326033592,0.6616599857807159,19.403798040002584
50,67.477398876,319,27,1,146,499,5,16.484200954437256,0.5864279810339212,0.8199249859899282,0.6338169332593679,18.524370854720473
51,67.574879927,325,24,1,147,505,6,16.55928185209632,0.6031189113855362,0.7556448690593243,0.6452682428061962,18.563313875347376
52,67.672347937,304,20,3,150,509,4,17.749119084328413,0.583491986617446,0.8475969079881907,0.6501579191535711,19.83036589808762
