method,node_id,x,y,z,nearest_baseline_m
baseline,301,25.099998474121094,3.500000238418579,-0.10600441694259644,nan
baseline,302,17.099998474121094,7.0,-0.010011792182922363,nan
baseline,303,9.5,0.4000002145767212,-0.23524709045886993,nan
baseline,304,25.700000762939453,1.700000286102295,-0.03130471706390381,nan
baseline,305,25.299999237060547,0.10000026226043701,-0.012006580829620361,nan
baseline,306,14.100000381469727,8.200000762939453,-0.1719241738319397,nan
baseline,307,9.699999809265137,11.90000057220459,1.2942415475845337,nan
baseline,308,24.700000762939453,1.4000000953674316,-0.0979146957397461,nan
baseline,309,16.700000762939453,-0.6999998092651367,-0.22023002803325653,nan
baseline,310,17.200000762939453,6.199999809265137,-0.22025668621063232,nan
baseline,311,25.900001525878906,2.700000286102295,-0.06249803304672241,nan
baseline,312,18.80000114440918,0.5000001192092896,-0.18710064888000488,nan
baseline,313,25.700002670288086,3.5,-0.09577953815460205,nan
baseline,314,24.700000762939453,-0.09999990463256836,-0.08929598331451416,nan
baseline,315,26.700000762939453,3.4000000953674316,-0.07016927003860474,nan
baseline,316,25.200000762939453,0.8999999761581421,-0.03316831588745117,nan
baseline,317,23.200000762939453,1.2000000476837158,-0.13075602054595947,nan
baseline,318,26.800003051757812,2.4000000953674316,-0.039652228355407715,nan
baseline,319,19.80000114440918,-0.20000004768371582,-0.16419696807861328,nan
baseline,320,26.900001525878906,1.2999999523162842,-0.01279759407043457,nan
baseline,321,27.400001525878906,3.5,-0.03440427780151367,nan
baseline,322,26.30000114440918,1.5,-0.02020186185836792,nan
baseline,323,27.400001525878906,2.0999999046325684,-0.008512675762176514,nan
baseline,324,26.000003814697266,0.49999988079071045,-0.012938737869262695,nan
baseline,325,27.900005340576172,2.8999998569488525,-0.005474656820297241,nan
baseline,326,27.300003051757812,2.799999952316284,-0.03733009099960327,nan
baseline,327,27.600004196166992,1.2999998331069946,0.021914184093475342,nan
baseline,328,27.70000457763672,0.39999985694885254,0.012234151363372803,nan
baseline,329,26.600006103515625,0.5999997854232788,-0.02088487148284912,nan
baseline,330,28.100006103515625,0.899999737739563,0.035472571849823,nan
baseline,331,28.600006103515625,3.5999999046325684,0.06822210550308228,nan
baseline,332,27.100006103515625,0.19999980926513672,-0.0013546943664550781,nan
baseline,333,26.200008392333984,2.0999996662139893,-0.05920618772506714,nan
baseline,334,29.00000762939453,2.999999761581421,-0.04582655429840088,nan
baseline,335,6.100007057189941,-6.699999809265137,-0.06989426165819168,nan
baseline,336,28.50000762939453,0.19999980926513672,0.02480083703994751,nan
baseline,337,28.900007247924805,1.299999713897705,-0.04298210144042969,nan
baseline,338,6.100007057189941,-9.90000057220459,0.10599031299352646,nan
baseline,339,29.80000877380371,2.299999713897705,-0.02029561996459961,nan
baseline,340,29.400009155273438,0.19999957084655762,-0.03142434358596802,nan
baseline,341,29.200008392333984,2.3999996185302734,-0.027211308479309082,nan
baseline,342,26.000009536743164,-0.10000038146972656,-0.04408085346221924,nan
baseline,343,29.600008010864258,0.8999996185302734,-0.03220987319946289,nan
baseline,344,30.900009155273438,4.399999618530273,-0.010715663433074951,nan
baseline,345,29.700008392333984,3.299999713897705,-0.04370105266571045,nan
baseline,346,30.500009536743164,2.499999523162842,0.08537560701370239,nan
baseline,347,30.70001220703125,3.299999713897705,0.0573124885559082,nan
baseline,348,30.40001106262207,0.6999995708465576,-0.02620595693588257,nan
baseline,349,28.900009155273438,0.6999995708465576,-0.03266596794128418,nan
baseline,350,31.40001106262207,2.09999942779541,0.1807892918586731,nan
baseline,351,30.500009536743164,1.799999475479126,0.1614585518836975,nan
baseline,352,31.300010681152344,0.799999475479126,-0.004839956760406494,nan
baseline,353,31.500011444091797,3.999999523162842,0.17805659770965576,nan
baseline,354,31.600011825561523,3.1999995708465576,0.09842556715011597,nan
baseline,355,31.90001106262207,2.499999523162842,0.1283847689628601,nan
baseline,356,32.800010681152344,2.299999475479126,0.14924651384353638,nan
baseline,357,32.0000114440918,1.6999993324279785,0.12950843572616577,nan
baseline,358,32.60000991821289,3.799999475479126,0.2134561985731125,nan
baseline,359,9.600010871887207,7.699999809265137,1.4919906854629517,nan
baseline,360,32.9000129699707,4.399999618530273,0.12348741292953491,nan
baseline,361,33.5000114440918,1.8999993801116943,0.20400702953338623,nan
baseline,362,35.100013732910156,-7.152557373046875e-07,0.2565733790397644,nan
baseline,363,33.4000129699707,2.8999993801116943,0.16450121998786926,nan
baseline,364,32.20001220703125,0.7999992370605469,0.17185628414154053,nan
baseline,365,32.4000129699707,2.8999993801116943,0.1940806806087494,nan
baseline,366,33.600013732910156,4.1999993324279785,0.14009100198745728,nan
baseline,367,34.100013732910156,1.6999993324279785,0.2377738356590271,nan
baseline,368,31.20001220703125,2.6999993324279785,0.14159661531448364,nan
baseline,369,30.100011825561523,1.2999993562698364,0.11506694555282593,nan
baseline,370,34.300010681152344,4.399999141693115,0.15246593952178955,nan
baseline,371,33.5000114440918,1.2999992370605469,0.08980292081832886,nan
baseline,372,17.400012969970703,1.8999992609024048,0.07799544185400009,nan
baseline,373,34.300010681152344,3.4999992847442627,0.14627236127853394,nan
baseline,374,14.70001220703125,-3.6000006198883057,0.1484270840883255,nan
baseline,375,34.30001449584961,0.9999992847442627,0.2356729507446289,nan
baseline,376,34.600013732910156,2.099999189376831,0.2102799415588379,nan
baseline,377,31.400012969970703,1.4999992847442627,0.07285577058792114,nan
baseline,378,33.30001449584961,3.59999942779541,0.11774063855409622,nan
baseline,379,32.70001220703125,1.199999213218689,0.09251576662063599,nan
baseline,380,12.300013542175293,-4.700000762939453,0.18281562626361847,nan
baseline,381,35.00001525878906,1.3999991416931152,0.26291513442993164,nan
baseline,382,35.100013732910156,3.799999237060547,0.2300349473953247,nan
